code	color	name	mainType	tissue	children	parent	level
MTNN	LimeGreen	Mature T and NK Neoplasms	Mature T and NK Neoplasms	Lymphoid	{}	NHL	4
CCRCC	Orange	Renal Clear Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	RCC	3
UUC	PeachPuff	Uterine Undifferentiated Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
AMLMLLT3KMT2A	LightSalmon	AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A	Leukemia	Myeloid	{}	AMLRGA	5
EGCT	Black	Extra Gonadal Germ Cell Tumor	Germ Cell Tumor	Other	{}	OTHER	2
BMT	Gray	Mature Teratoma	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
UCCA	PeachPuff	Choriocarcinoma	Gestational Trophoblastic Disease	Uterus	{}	GTD	3
SCUP	Black	Small Cell Carcinoma of Unknown Primary	Cancer of Unknown Primary	Other	{}	CUP	3
TAM	LightSalmon	Transient Abnormal Myelopoiesis	Leukemia	Myeloid	{}	MPRDS	5
LATL	LimeGreen	Lymphoid Atypical	Lymphatic Cancer	Lymphoid	{}	LYMPH	2
AFH	LightYellow	Angiomatoid Fibrous Histiocytoma	Angiomatoid Fibrous Histiocytoma	Soft Tissue	{}	SOFT_TISSUE	2
IAMPCA	Purple	Intestinal Ampullary Carcinoma	Ampullary Cancer	Ampulla of Vater	{}	AMPCA	3
MLADS	LightSalmon	Myeloid Leukemia Associated with Down Syndrome	Leukemia	Myeloid	{}	MPRDS	5
USTAD	LightSkyBlue	Undifferentiated Stomach Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	EGC	3
CESE	Teal	Cervical Serous Carcinoma	Cervical Cancer	Cervix	{}	CEAD	3
LYMPH	LimeGreen	Lymphoid	Lymphatic Cancer	Lymphoid	{}	TISSUE	1
LGGNOS	Gray	Low-Grade Glioma	Glioma	CNS/Brain	{}	ENCG	3
APLPMLRARA	LightSalmon	APL with PML-RARA	Leukemia	Myeloid	{}	AMLRGA	5
MLYM	Gray	Malignant Lymphoma	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
SRCC	Orange	Sarcomatoid Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
BCCP	Cyan	Basal Cell Carcinoma of Prostate	Prostate Cancer	Prostate	{}	PROSTATE	2
BRAME	HotPink	Adenomyoepithelioma of the Breast	Breast Cancer	Breast	{}	BREAST	2
AITL	LimeGreen	Angioimmunoblastic T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
PAAC	Purple	Acinar Cell Carcinoma of the Pancreas	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
PINT	Gray	Pineal Tumor	Pineal Tumor	CNS/Brain	{}	BRAIN	2
MDSRS	LightSalmon	MDS with Ring Sideroblasts	Myelodysplastic Syndromes	Myeloid	{}	MDS	4
HS	LightSalmon	Histiocytic Sarcoma	Histiocytosis	Myeloid	{}	HDCN	4
CHLPTLD	LimeGreen	Classical Hodgkin Lymphoma PTLD	Posttransplant Lymphoproliferative Disorders	Lymphoid	{}	PTLD	4
SRCCR	SaddleBrown	Signet Ring Cell Adenocarcinoma of the Colon and Rectum	Colorectal Cancer	Bowel	{}	COADREAD	3
OIMT	LightBlue	Immature Teratoma	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OGCT	3
VGCE	Teal	Villoglandular Adenocarcinoma of the Cervix	Cervical Cancer	Cervix	{}	CERVIX	2
MPALKMT2A	LightSalmon	Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged	Leukemia	Myeloid	{}	ALAL	4
UELMS	PeachPuff	Uterine Epithelioid Leiomyosarcoma	Uterine Sarcoma	Uterus	{}	USMT	4
PRSC	Cyan	Prostate Squamous Cell Carcinoma	Prostate Cancer	Prostate	{}	PROSTATE	2
HCL	LimeGreen	Hairy Cell Leukemia	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
CESC	Teal	Cervical Squamous Cell Carcinoma	Cervical Cancer	Cervix	{}	CERVIX	2
SYNS	LightYellow	Synovial Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
ERMS	LightYellow	Embryonal Rhabdomyosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	RMS	3
EYE	Green	Eye	Eye Cancer	Eye	{}	TISSUE	1
ASM	LightSalmon	Aggressive Systemic Mastocytosis	Mastocytosis	Myeloid	{}	SM	5
UM	Green	Uveal Melanoma	Melanoma	Eye	{}	OM	3
CHOL	Green	Cholangiocarcinoma	Hepatobiliary Cancer	Biliary Tract	{}	BILIARY_TRACT	2
ESST	LightYellow	Ewing Sarcoma of Soft Tissue	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
MDS/MPN	LightSalmon	Myelodysplastic/Myeloproliferative Neoplasms	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	MNM	3
FL	LimeGreen	Follicular Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
SGTTL	Gainsboro	Salivary Gland-Type Tumor of the Lung	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
PTH	DarkRed	Parathyroid Cancer	Parathyroid Cancer	Head and Neck	{}	HEAD_NECK	2
BOWEL	SaddleBrown	Bowel	Bowel Cancer	Bowel	{}	TISSUE	1
WT	Orange	Wilms' Tumor	Wilms Tumor	Kidney	{}	KIDNEY	2
TET	Purple	Thymic Epithelial Tumor	Thymic Tumor	Thymus	{}	THYMUS	2
IUP	Yellow	Inverted Urothelial Papilloma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
TLL	LimeGreen	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	LNM	3
SS	LimeGreen	Sezary Syndrome	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
HGNEC	SaddleBrown	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	Gastrointestinal Neuroendocrine Tumor	Bowel	{}	GINET	3
AODG	Gray	Anaplastic Oligodendroglioma	Glioma	CNS/Brain	{}	DIFG	3
PORO	Black	Poroma/Acrospiroma	Skin Cancer	Skin	{}	SKIN	2
HTAT	Teal	Hyalinizing Trabecular Adenoma of the Thyroid	Thyroid Cancer	Thyroid	{}	THYROID	2
LDD	Gray	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
HGSFT	LightBlue	High-Grade Serous Fallopian Tube Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	OOVC	3
NMCHN	DarkRed	NUT Midline Carcinoma of the Head and Neck	Head and Neck Cancer	Head and Neck	{}	OHNCA	3
UMLMS	PeachPuff	Uterine Myxoid Leiomyosarcoma	Uterine Sarcoma	Uterus	{}	USMT	4
HEAD_NECK	DarkRed	Head and Neck	Head and Neck Cancer	Head and Neck	{}	TISSUE	1
UDMN	Black	Undifferentiated Malignant Neoplasm	Cancer of Unknown Primary	Other	{}	CUP	3
ACRM	Black	Acral Melanoma	Melanoma	Skin	{}	MEL	3
MLNPDGFRA	LightSalmon	Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement	Leukemia	Myeloid	{}	MLNER	4
PHC	Purple	Pheochromocytoma	Pheochromocytoma	Adrenal Gland	{}	ADRENAL_GLAND	2
ATLL	LimeGreen	Adult T-Cell Leukemia/Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
THRLBCL	LimeGreen	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
PTAD	Gray	Pituitary Adenoma	Sellar Tumor	CNS/Brain	{}	SELT	3
ESMM	LightSkyBlue	Mucosal Melanoma of the Esophagus	Melanoma	Esophagus/Stomach	{}	STOMACH	2
MNG	Gray	Meningioma	CNS Cancer	CNS/Brain	{}	MNGT	3
LIPO	LightYellow	Liposarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
LBLIRF4	LimeGreen	Large B-Cell Lymphoma with IRF4 Rearrangement	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
DCIS	HotPink	Breast Ductal Carcinoma In Situ	Breast Cancer	Breast	{}	BREAST	2
TT	Red	Teratoma	Germ Cell Tumor	Testis	{}	NSGCT	3
PCSMTPLD	LimeGreen	Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
AMML	LightSalmon	Acute Myelomonocytic Leukemia	Leukemia	Myeloid	{}	AMLNOS	5
ESCA	LightSkyBlue	Esophageal Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	EGC	3
MCC	Black	Merkel Cell Carcinoma	Skin Cancer	Skin	{}	SKIN	2
URCC	Orange	Unclassified Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
MCD	LightSalmon	Mastocytosis	Mastocytosis	Myeloid	{}	MNM	3
URCA	Yellow	Urachal Carcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
OMT	LightBlue	Mature Teratoma	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OGCT	3
LYG	LimeGreen	Lymphomatoid Granulomatosis	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
SPDAC	LightSkyBlue	Poorly Differentiated Carcinoma of the Stomach	Esophagogastric Cancer	Esophagus/Stomach	{}	USTAD	4
NUTCL	Gainsboro	NUT Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
SEF	LightYellow	Sclerosing Epithelioid Fibrosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	FIBS	3
AECA	Black	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	Skin Cancer	Skin	{}	SKIN	2
ETMF	LightSalmon	Essential Thrombocythemia Myelofibrosis	Myeloproliferative Neoplasms	Myeloid	{}	ET	5
GINETES	LightSkyBlue	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach	Esophagogastric Cancer	Esophagus/Stomach	{}	STOMACH	2
OAST	Gray	Oligoastrocytoma	Glioma	CNS/Brain	{}	DIFG	3
DES	LightYellow	Desmoid/Aggressive Fibromatosis	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
PAASC	Purple	Adenosquamous Carcinoma of the Pancreas	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
SNSC	DarkRed	Sinonasal Squamous Cell Carcinoma	Head and Neck Cancer	Head and Neck	{}	HNSC	3
ALCLALKP	LimeGreen	Anaplastic Large-Cell Lymphoma ALK Positive	Mature T and NK Neoplasms	Lymphoid	{}	ALCL	6
MDSRSSLD	LightSalmon	MDS with Ring Sideroblasts and Single Lineage Dysplasia	Myelodysplastic Syndromes	Myeloid	{}	MDSRS	5
BRCA	HotPink	Invasive Breast Carcinoma	Breast Cancer	Breast	{}	BREAST	2
IHCH	Green	Intrahepatic Cholangiocarcinoma	Hepatobiliary Cancer	Biliary Tract	{}	CHOL	3
ODGC	DarkRed	Odontogenic Carcinoma	Head and Neck Cancer	Head and Neck	{}	OHNCA	3
EBVMCU	LimeGreen	EBV Positive Mucocutaneous Ulcer	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
LCLC	Gainsboro	Large Cell Lung Carcinoma	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
STAS	LightSkyBlue	Adenosquamous Carcinoma of the Stomach	Esophagogastric Cancer	Esophagus/Stomach	{}	EGC	3
COAD	SaddleBrown	Colon Adenocarcinoma	Colorectal Cancer	Bowel	{}	COADREAD	3
SCT	LightBlue	Steroid Cell Tumor	Sex Cord Stromal Tumor	Ovary/Fallopian Tube	{}	SCST	3
EHAE	LightYellow	Epithelioid Hemangioendothelioma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
EMBT	Gray	Embryonal Tumor	Embryonal Tumor	CNS/Brain	{}	BRAIN	2
READ	SaddleBrown	Rectal Adenocarcinoma	Colorectal Cancer	Bowel	{}	COADREAD	3
CNC	Gray	Central Neurocytoma	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
UCS	PeachPuff	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	Endometrial Cancer	Uterus	{}	UCEC	3
BLLBCRABL1	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
HDCN	LightSalmon	Histiocytic and Dendritic Cell Neoplasms	Histiocytosis	Myeloid	{}	MNM	3
MTSCC	Orange	Renal Mucinous Tubular Spindle Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
MP	PeachPuff	Molar Pregnancy	Gestational Trophoblastic Disease	Uterus	{}	GTD	3
MDS	LightSalmon	Myelodysplastic Syndromes	Myelodysplastic Syndromes	Myeloid	{}	MNM	3
VPE	Purple	Polyembryoma	Germ Cell Tumor	Vulva/Vagina	{}	VGCT	3
FHPTLD	LimeGreen	Florid Follicular Hyperplasia PTLD	Posttransplant Lymphoproliferative Disorders	Lymphoid	{}	PTLD	4
URMM	Yellow	Mucosal Melanoma of the Urethra	Melanoma	Bladder/Urinary Tract	{}	BLADDER	2
BLL11Q	LimeGreen	Burkitt-Like Lymphoma with 11q Aberration	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
SNUC	DarkRed	Sinonasal Undifferentiated Carcinoma	Head and Neck Cancer	Head and Neck	{}	OHNCA	3
EGC	LightSkyBlue	Esophagogastric Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STOMACH	2
MDSEB	LightSalmon	MDS with Excess Blasts	Myelodysplastic Syndromes	Myeloid	{}	MDS	4
MYXO	LightYellow	Myxoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
DF	Black	Dermatofibroma	Skin Cancer	Skin	{}	SKIN	2
CCLC	Gainsboro	Clear Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	LCLC	4
NBL	Gray	Neuroblastoma	Peripheral Nervous System	Peripheral Nervous System	{}	PNS	2
RDD	LightSalmon	Rosai-Dorfman Disease	Histiocytosis	Myeloid	{}	HDCN	4
DDCHDM	White	Dedifferentiated Chordoma	Bone Cancer	Bone	{}	CHDM	3
IDCT	LightSalmon	Indeterminate Dendritic Cell Tumor	Histiocytosis	Myeloid	{}	HDCN	4
LUAD	Gainsboro	Lung Adenocarcinoma	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
SLCT	LightBlue	Sertoli-Leydig Cell Tumor	Sex Cord Stromal Tumor	Ovary/Fallopian Tube	{}	SCST	3
INTS	LightYellow	Intimal Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
UAD	Yellow	Urethral Adenocarcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	UCA	3
PROSTATE	Cyan	Prostate	Prostate Cancer	Prostate	{}	TISSUE	1
FTCL	LimeGreen	Follicular T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
HCC	MediumSeaGreen	Hepatocellular Carcinoma	Hepatobiliary Cancer	Liver	{}	LIVER	2
ACN	Black	Acinar Cell Carcinoma	Cancer of Unknown Primary	Other	{}	CUP	3
MDSEB2	LightSalmon	MDS with excess blasts-2	Myelodysplastic Syndromes	Myeloid	{}	MDSEB	5
PLMESO	Blue	Pleural Mesothelioma	Mesothelioma	Pleura	{}	PLEURA	2
NCCRCC	Orange	Renal Non-Clear Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	RCC	3
LBGN	LimeGreen	Lymphoid Benign	Lymphatic Cancer	Lymphoid	{}	LYMPH	2
COADREAD	SaddleBrown	Colorectal Adenocarcinoma	Colorectal Cancer	Bowel	{}	BOWEL	2
VGCT	Purple	Germ Cell Tumor of the Vulva	Germ Cell Tumor	Vulva/Vagina	{}	VULVA	2
MPE	Gray	Myxopapillary Ependymoma	CNS Cancer	CNS/Brain	{}	EPMT	3
CLNC	Gray	Cerebellar Liponeurocytoma	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
PGNG	Gray	Paraganglioma	Miscellaneous Neuroepithelial Tumor	Soft Tissue	{}	SOFT_TISSUE	2
MYELOID	LightSalmon	Myeloid	Blood Cancer	Myeloid	{}	TISSUE	1
EMALT	LimeGreen	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	Mature B-Cell Neoplasms	Lymphoid	{}	MZL	6
BONE	White	Bone	Bone Cancer	Bone	{}	TISSUE	1
AMLRBM15MKL1	LightSalmon	AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1	Leukemia	Myeloid	{}	AMLRGA	5
IPMN	Purple	Intraductal Papillary Mucinous Neoplasm	Pancreatic Cancer	Pancreas	{}	PACT	3
MGUS	LimeGreen	Monoclonal Gammopathy of Undetermined Significance	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
BILIARY_TRACT	Green	Biliary Tract	Biliary Tract Cancer	Biliary Tract	{}	TISSUE	1
EMPD	Black	Extramammary Paget Disease	Skin Cancer	Skin	{}	SKIN	2
CHOS	White	Chondroblastic Osteosarcoma	Bone Cancer	Bone	{}	OS	3
RLCLC	Gainsboro	Large Cell Lung Carcinoma With Rhabdoid Phenotype	Non-Small Cell Lung Cancer	Lung	{}	LCLC	4
OSACA	DarkRed	Salivary Carcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
PANET	Purple	Pancreatic Neuroendocrine Tumor	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
GINET	SaddleBrown	Gastrointestinal Neuroendocrine Tumors	Gastrointestinal Neuroendocrine Tumor	Bowel	{}	BOWEL	2
SFT	LightYellow	Solitary Fibrous Tumor/Hemangiopericytoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
EPM	Gray	Ependymoma	Glioma	CNS/Brain	{}	EPMT	3
HMBL	Gray	Hemangioblastoma	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
HGSOS	White	High-Grade Surface Osteosarcoma	Bone Cancer	Bone	{}	OS	3
TLYM	Red	Testicular Lymphoma	Non-Hodgkin Lymphoma	Testis	{}	TESTIS	2
PNET	Gray	Primitive Neuroectodermal Tumor	Embryonal Tumor	CNS/Brain	{}	EMBT	3
TMESO	Red	Testicular Mesothelioma	Mesothelioma	Testis	{}	TESTIS	2
PAST	Gray	Pilocytic Astrocytoma	Glioma	CNS/Brain	{}	ENCG	3
DFSP	Black	Dermatofibrosarcoma Protuberans	Skin Cancer	Skin	{}	SKIN	2
THAP	Teal	Anaplastic Thyroid Cancer	Thyroid Cancer	Thyroid	{}	THYROID	2
SKLMM	Black	Lentigo Maligna Melanoma	Melanoma	Skin	{}	MEL	3
TGCT	LightYellow	Tenosynovial Giant Cell Tumor Diffuse Type	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
PTCY	Gray	Pituicytoma	Sellar Tumor	CNS/Brain	{}	SELT	3
ASCT	DarkRed	Adenosquamous Carcinoma of the Tongue	Head and Neck Cancer	Head and Neck	{}	OHNCA	3
BNNOS	HotPink	Breast Neoplasm	Breast Cancer	Breast	{}	BREAST	2
MACR	SaddleBrown	Mucinous Adenocarcinoma of the Colon and Rectum	Colorectal Cancer	Bowel	{}	COADREAD	3
IBC	HotPink	Inflammatory Breast Cancer	Breast Cancer	Breast	{}	BREAST	2
GTD	PeachPuff	Gestational Trophoblastic Disease	Gestational Trophoblastic Disease	Uterus	{}	UTERUS	2
TMN	LightSalmon	Therapy-Related Myeloid Neoplasms	Leukemia	Myeloid	{}	AML	4
MNET	Gray	Miscellaneous Neuroepithelial Tumor	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	BRAIN	2
MEITL	LimeGreen	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
PRAD	Cyan	Prostate Adenocarcinoma	Prostate Cancer	Prostate	{}	PROSTATE	2
MRTL	MediumSeaGreen	Malignant Rhabdoid Tumor of the Liver	Malignant Rhabdoid Tumor of the Liver	Liver	{}	LIVER	2
NKCLL	LimeGreen	Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	TLL	4
OSOS	White	Osteoblastic Osteosarcoma	Bone Cancer	Bone	{}	OS	3
AIS	Black	Adenocarcinoma In Situ	Adenocarcinoma In Situ	Other	{}	OTHER	2
AASTR	Gray	Anaplastic Astrocytoma	Glioma	CNS/Brain	{}	DIFG	3
VIMT	Purple	Immature Teratoma	Germ Cell Tumor	Vulva/Vagina	{}	VGCT	3
AMLDEKNUP214	LightSalmon	AML with t(6;9)(p23;q34.1);DEK-NUP214	Leukemia	Myeloid	{}	AMLRGA	5
MGUSIGA	LimeGreen	IgA	Mature B-Cell Neoplasms	Lymphoid	{}	MGUS	6
KIDNEY	Orange	Kidney	Kidney Cancer	Kidney	{}	TISSUE	1
MDEP	Gray	Medulloepithelioma	Embryonal Tumor	CNS/Brain	{}	EMBT	3
SSM	LightSalmon	Smoldering Systemic Mastocytosis	Mastocytosis	Myeloid	{}	SM	5
CMML2	LightSalmon	Chronic Myelomonocytic Leukemia-2	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	CMML	5
HNSCUP	DarkRed	Head and Neck Squamous Cell Carcinoma of Unknown Primary	Head and Neck Cancer	Head and Neck	{}	HNSC	3
IMS	LightYellow	Myofibromatosis	Myofibromatosis	Soft Tissue	{}	SOFT_TISSUE	2
SMN	LightSkyBlue	Smooth Muscle Neoplasm	Esophagogastric Cancer	Esophagus/Stomach	{}	STOMACH	2
PRSCC	Cyan	Prostate Small Cell Carcinoma	Prostate Cancer	Prostate	{}	PROSTATE	2
DSTAD	LightSkyBlue	Diffuse Type Stomach Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STAD	4
SECOS	White	Secondary Osteosarcoma	Bone Cancer	Bone	{}	OS	3
NMZL	LimeGreen	Nodal Marginal Zone Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MZL	6
PT	HotPink	Phyllodes Tumor of the Breast	Breast Sarcoma	Breast	{}	BFN	3
MSCHW	Gray	Melanotic Schwannoma	Nerve Sheath Tumor	Peripheral Nervous System	{}	SCHW	4
ACPG	Gray	Craniopharyngioma	Sellar Tumor	CNS/Brain	{}	SELT	3
SCCE	Teal	Small Cell Carcinoma of the Cervix	Cervical Cancer	Cervix	{}	CERVIX	2
NPTLTFH	LimeGreen	Nodal Peripheral T-Cell Lymphoma with TFH Phenotype	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
VMM	Purple	Mucosal Melanoma of the Vulva/Vagina	Melanoma	Vulva/Vagina	{}	VULVA	2
MGST	LightYellow	Malignant Glomus Tumor	Malignant Glomus Tumor	Soft Tissue	{}	SOFT_TISSUE	2
BTMOV	LightBlue	Brenner Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	BTOV	4
CHDM	White	Chordoma	Bone Cancer	Bone	{}	BONE	2
ACPP	Gray	Atypical Choroid Plexus Papilloma	Choroid Plexus Tumor	CNS/Brain	{}	CPT	3
PSTAD	LightSkyBlue	Papillary Stomach Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STAD	4
MEL	Black	Melanoma	Melanoma	Skin	{}	SKIN	2
CM	Green	Conjunctival Melanoma	Melanoma	Eye	{}	OM	3
HGNEE	LightSkyBlue	High-Grade Neuroendocrine Carcinoma of the Esophagus	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach	Esophagus/Stomach	{}	GINETES	3
MAMPCA	Purple	Mixed Ampullary Carcinoma	Ampullary Cancer	Ampulla of Vater	{}	AMPCA	3
PRCC	Orange	Papillary Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
BLPT	HotPink	Borderline Phyllodes Tumor of the Breast	Breast Sarcoma	Breast	{}	PT	4
LUPC	Gainsboro	Pleomorphic Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
VMGCT	Purple	Mixed Germ Cell Tumor	Germ Cell Tumor	Vulva/Vagina	{}	VGCT	3
GCLC	Gainsboro	Giant Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	LCLC	4
OFMT	LightYellow	Ossifying Fibromyxoid Tumor	Soft Tissue Sarcoma	Soft Tissue	{}	MYXO	3
BPDCN	LightSalmon	Blastic Plasmacytoid Dendritic Cell Neoplasm	Blastic Plasmacytoid Dendritic Cell Neoplasm	Myeloid	{}	MNM	3
PACT	Purple	Cystic Tumor of the Pancreas	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
EHCH	Green	Extrahepatic Cholangiocarcinoma	Hepatobiliary Cancer	Biliary Tract	{}	CHOL	3
LUSC	Gainsboro	Lung Squamous Cell Carcinoma	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
FLC	MediumSeaGreen	Fibrolamellar Carcinoma	Hepatobiliary Cancer	Liver	{}	LIVER	2
TAML	LightSalmon	Therapy-Related Acute Myeloid Leukemia	Leukemia	Myeloid	{}	TMN	5
CMC	SaddleBrown	Medullary Carcinoma of the Colon	Colorectal Cancer	Bowel	{}	BOWEL	2
APTAD	Gray	Atypical Pituitary Adenoma	Sellar Tumor	CNS/Brain	{}	SELT	3
ATM	Gray	Atypical Meningioma	CNS Cancer	CNS/Brain	{}	MNGT	3
MYCF	LimeGreen	Mycosis Fungoides	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
MASCC	HotPink	Metaplastic Adenocarcinoma with Spindle Cell Differentiation	Breast Cancer	Breast	{}	EMBC	4
CHOM	Gray	Chordoid Meningioma	CNS Cancer	CNS/Brain	{}	MNGT	3
LUNG	Gainsboro	Lung	Lung Cancer	Lung	{}	TISSUE	1
ALT	LightYellow	Atypical Lipomatous Tumor	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
VPDC	Purple	Poorly Differentiated Vaginal Carcinoma	Vaginal Cancer	Vulva/Vagina	{}	VULVA	2
AFX	Black	Atypical Fibroxanthoma	Skin Cancer	Skin	{}	SKIN	2
MBOV	LightBlue	Mucinous Borderline Ovarian Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
PMA	Gray	Pilomyxoid Astrocytoma	Glioma	CNS/Brain	{}	ENCG	3
PSCC	Blue	Penile Squamous Cell Carcinoma	Penile Cancer	Penis	{}	PENIS	2
CEAIS	Teal	Cervical Adenocarcinoma In Situ	Cervical Cancer	Cervix	{}	CERVIX	2
ODYS	LightBlue	Dysgerminoma	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OGCT	3
FHRCC	Orange	FH-Deficient Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
PD	HotPink	Paget Disease of the Nipple	Breast Cancer	Breast	{}	DCIS	3
FRCT	LightSalmon	Fibroblastic Reticular Cell Tumor	Histiocytosis	Myeloid	{}	HDCN	4
AUL	LightSalmon	Acute Undifferentiated Leukemia	Leukemia	Myeloid	{}	ALAL	4
TLGL	LimeGreen	T-Cell Large Granular Lymphocytic Leukemia	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
ARMM	SaddleBrown	Anorectal Mucosal Melanoma	Melanoma	Bowel	{}	BOWEL	2
DLBCLNOS	LimeGreen	Diffuse Large B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
